nameOfIssuer	titleOfClass	cusip	value	sshPrnamt	sshPrnamtType	investmentDiscretion	Sole	Shared	None	otherManager	putCall
KOHLS CORP	COM	500255104	7824	158454	SH	SOLE	158454	0	0	n/a	n/a
KOHLS CORP	COM	500255104	9454	191449	SH	SOLE	13002	0	178447	2	n/a
KONA GRILL INC	COM	50047H201	32	2572	SH	SOLE	2572	0	0	n/a	n/a
KOPIN CORP	COM	500600101	99	34982	SH	SOLE	34982	0	0	n/a	n/a
KOPPERS HOLDINGS INC	COM	50060P106	1935	48011	SH	SOLE	48011	0	0	n/a	n/a
KORN FERRY INTL	COM NEW	500643200	893	30358	SH	SOLE	30358	0	0	n/a	n/a
KOSMOS ENERGY LTD	SHS	G5315B107	15051	2147026	SH	SOLE	2147026	0	0	n/a	n/a
KRAFT HEINZ CO	COM	500754106	4195	48043	SH	SOLE	48043	0	0	n/a	n/a
KRAFT HEINZ CO	COM	500754106	22722	260218	SH	SOLE	3607	0	256611	2	n/a
KRATON CORPORATION	COM	50077C106	4507	158264	SH	SOLE	158264	0	0	n/a	n/a
KRATOS DEFENSE & SEC SOLUTIO	COM NEW	50077B207	219	29604	SH	SOLE	29604	0	0	n/a	n/a
KROGER CO	COM	501044101	443956	12864567	SH	SOLE	12836622	0	27945	n/a	n/a
KROGER CO	COM	501044101	17889	518381	SH	SOLE	0	0	518381	2	n/a
KRONOS WORLDWIDE INC	COM	50105F105	126	10551	SH	SOLE	10551	0	0	n/a	n/a
KULICKE & SOFFA INDS INC	COM	501242101	5211	326688	SH	SOLE	326688	0	0	n/a	n/a
KVH INDS INC	COM	482738101	98	8283	SH	SOLE	8283	0	0	n/a	n/a
L BRANDS INC	COM	501797104	8041	122132	SH	SOLE	108946	0	13186	n/a	n/a
L BRANDS INC	COM	501797104	8300	126057	SH	SOLE	0	0	126057	2	n/a
L-3 COMMUNICATIONS HLDGS INC	COM	502424104	25958	170653	SH	SOLE	170653	0	0	n/a	n/a
L-3 COMMUNICATIONS HLDGS INC	COM	502424104	8979	59030	SH	SOLE	0	0	59030	2	n/a
LA JOLLA PHARMACEUTICAL CO	COM PAR $.0001 2	503459604	122	6978	SH	SOLE	6978	0	0	n/a	n/a
LA QUINTA HLDGS INC	COM	50420D108	630	44356	SH	SOLE	44356	0	0	n/a	n/a
LA Z BOY INC	COM	505336107	3863	124397	SH	SOLE	124397	0	0	n/a	n/a
LABORATORY CORP AMER HLDGS	COM NEW	50540R409	60807	473651	SH	SOLE	473651	0	0	n/a	n/a
LABORATORY CORP AMER HLDGS	COM NEW	50540R409	8492	66149	SH	SOLE	0	0	66149	2	n/a
LADDER CAP CORP	CL A	505743104	363	26426	SH	SOLE	26426	0	0	n/a	n/a
LADENBURG THALMAN FIN SVCS I	COM	50575Q102	140	57295	SH	SOLE	57295	0	0	n/a	n/a
LAKE SUNAPEE BK GROUP	COM	510866106	76	3221	SH	SOLE	3221	0	0	n/a	n/a
LAKELAND BANCORP INC	COM	511637100	461	23660	SH	SOLE	23660	0	0	n/a	n/a
LAKELAND FINL CORP	COM	511656100	622	13135	SH	SOLE	13135	0	0	n/a	n/a
LAKELAND INDS INC	COM	511795106	22	2101	SH	SOLE	2101	0	0	n/a	n/a
LAM RESEARCH CORP	COM	512807108	165605	1566305	SH	SOLE	1566305	0	0	n/a	n/a
LAM RESEARCH CORP	COM	512807108	7872	74453	SH	SOLE	0	0	74453	2	n/a
LAMAR ADVERTISING CO NEW	CL A	512816109	3336	49620	SH	SOLE	49620	0	0	n/a	n/a
LAMB WESTON HLDGS INC	COM	513272104	3126	82576	SH	SOLE	82576	0	0	n/a	n/a
LANCASTER COLONY CORP	COM	513847103	1997	14122	SH	SOLE	14122	0	0	n/a	n/a
LANDAUER INC	COM	51476K103	14386	299080	SH	SOLE	299080	0	0	n/a	n/a
LANDEC CORP	COM	514766104	207	14972	SH	SOLE	14972	0	0	n/a	n/a
LANDS END INC NEW	COM	51509F105	110	7291	SH	SOLE	7291	0	0	n/a	n/a
LANDSTAR SYS INC	COM	515098101	2134	25022	SH	SOLE	25022	0	0	n/a	n/a
LANNET INC	COM	516012101	332	15053	SH	SOLE	15053	0	0	n/a	n/a
LANTHEUS HLDGS INC	COM	516544103	30	3455	SH	SOLE	3455	0	0	n/a	n/a
LANTRONIX INC	COM NEW	516548203	15	9095	SH	SOLE	9095	0	0	n/a	n/a
LAREDO PETROLEUM INC	COM	516806106	1195	84532	SH	SOLE	84532	0	0	n/a	n/a
LAS VEGAS SANDS CORP	COM	517834107	3886	72761	SH	SOLE	72761	0	0	n/a	n/a
LAS VEGAS SANDS CORP	COM	517834107	12924	241974	SH	SOLE	0	0	241974	2	n/a
LASALLE HOTEL PPTYS	COM SH BEN INT	517942108	3963	130061	SH	SOLE	130061	0	0	n/a	n/a
LATTICE SEMICONDUCTOR CORP	COM	518415104	473	64261	SH	SOLE	64261	0	0	n/a	n/a
LAUDER ESTEE COS INC	CL A	518439104	14030	183424	SH	SOLE	169746	0	13678	n/a	n/a
LAUDER ESTEE COS INC	CL A	518439104	11694	152884	SH	SOLE	0	0	152884	2	n/a
LAWSON PRODS INC	COM	520776105	59	2476	SH	SOLE	2476	0	0	n/a	n/a
LAYNE CHRISTENSEN CO	COM	521050104	118	10872	SH	SOLE	10872	0	0	n/a	n/a
LAZARD LTD	SHS A	G54050102	3137	76344	SH	SOLE	76344	0	0	n/a	n/a
LCNB CORP	COM	50181P100	77	3332	SH	SOLE	3332	0	0	n/a	n/a
LEAR CORP	COM NEW	521865204	187731	1418231	SH	SOLE	1418231	0	0	n/a	n/a
LEAR CORP	COM NEW	521865204	3295	24896	SH	SOLE	0	0	24896	2	n/a
LEE ENTERPRISES INC	COM	523768109	25	8464	SH	SOLE	8464	0	0	n/a	n/a
LEGACY TEX FINL GROUP INC	COM	52471Y106	1062	24654	SH	SOLE	24654	0	0	n/a	n/a
LEGG MASON INC	COM	524901105	1807	60407	SH	SOLE	60407	0	0	n/a	n/a
LEGGETT & PLATT INC	COM	524660107	2943	60217	SH	SOLE	60217	0	0	n/a	n/a
LEGGETT & PLATT INC	COM	524660107	2057	42085	SH	SOLE	0	0	42085	2	n/a
LEIDOS HLDGS INC	COM	525327102	4113	80421	SH	SOLE	80421	0	0	n/a	n/a
LEMAITRE VASCULAR INC	COM	525558201	2354	92890	SH	SOLE	92890	0	0	n/a	n/a
LENDINGCLUB CORP	COM	52603A109	903	172081	SH	SOLE	172081	0	0	n/a	n/a
LENDINGTREE INC NEW	COM	52603B107	356	3513	SH	SOLE	3513	0	0	n/a	n/a
LENNAR CORP	CL A	526057104	30780	716991	SH	SOLE	716991	0	0	n/a	n/a
LENNAR CORP	CL A	526057104	4669	108754	SH	SOLE	0	0	108754	2	n/a
LENNAR CORP	CL B	526057302	225	6523	SH	SOLE	6523	0	0	n/a	n/a
LENNOX INTL INC	COM	526107107	3549	23171	SH	SOLE	23171	0	0	n/a	n/a
LEUCADIA NATL CORP	COM	527288104	3376	145225	SH	SOLE	145225	0	0	n/a	n/a
LEUCADIA NATL CORP	COM	527288104	2288	98428	SH	SOLE	0	0	98428	2	n/a
LEVEL 3 COMMUNICATIONS INC	COM NEW	52729N308	7384	131016	SH	SOLE	131016	0	0	n/a	n/a
LEVEL 3 COMMUNICATIONS INC	COM NEW	52729N308	8206	145601	SH	SOLE	0	0	145601	2	n/a
LEXICON PHARMACEUTICALS INC	COM NEW	528872302	1864	134794	SH	SOLE	134794	0	0	n/a	n/a
LEXINGTON REALTY TRUST	COM	529043101	2951	273209	SH	SOLE	273209	0	0	n/a	n/a
LGI HOMES INC	COM	50187T106	239	8317	SH	SOLE	8317	0	0	n/a	n/a
LHC GROUP INC	COM	50187A107	494	10808	SH	SOLE	10808	0	0	n/a	n/a
LIBBEY INC	COM	529898108	235	12082	SH	SOLE	12082	0	0	n/a	n/a
LIBERTY ALL STAR EQUITY FD	SH BEN INT	530158104	41	7999	SH	OTR	7999	0	0	n/a	n/a
LIBERTY BROADBAND CORP	COM SER A	530307107	77	1067	SH	OTR	1067	0	0	n/a	n/a
LIBERTY BROADBAND CORP	COM SER A	530307107	27759	383098	SH	SOLE	383098	0	0	n/a	n/a
LIBERTY BROADBAND CORP	COM SER C	530307305	57003	769583	SH	SOLE	769583	0	0	n/a	n/a
LIBERTY EXPEDIA HOLDINGS	SER A COM	53046P109	8928	225057	SH	SOLE	225057	0	0	n/a	n/a
LIBERTY GLOBAL PLC	SHS CL A	G5480U104	9	293	SH	OTR	293	0	0	n/a	n/a
LIBERTY GLOBAL PLC	SHS CL A	G5480U104	57516	1880217	SH	SOLE	1880217	0	0	n/a	n/a
LIBERTY GLOBAL PLC	SHS CL A	G5480U104	3690	120615	SH	SOLE	0	0	120615	2	n/a
LIBERTY GLOBAL PLC	SHS CL C	G5480U120	3346	112676	SH	SOLE	112676	0	0	n/a	n/a
LIBERTY GLOBAL PLC	SHS CL C	G5480U120	8850	297986	SH	SOLE	0	0	297986	2	n/a
LIBERTY GLOBAL PLC	LILAC SHS CL A	G5480U138	172	7846	SH	SOLE	7846	0	0	n/a	n/a
LIBERTY GLOBAL PLC	LILAC SHS CL C	G5480U153	63	2990	SH	OTR	2990	0	0	n/a	n/a
LIBERTY GLOBAL PLC	LILAC SHS CL C	G5480U153	451	21306	SH	SOLE	21306	0	0	n/a	n/a
LIBERTY GLOBAL PLC	LILAC SHS CL C	G5480U153	2138	100977	SH	SOLE	0	0	100977	2	n/a
LIBERTY INTERACTIVE CORP	QVC GP COM SER A	53071M104	11786	589894	SH	SOLE	561842	0	28052	n/a	n/a
LIBERTY INTERACTIVE CORP	LBT VEN COM A NE	53071M856	12459	337911	SH	SOLE	337911	0	0	n/a	n/a
LIBERTY MEDIA CORP DELAWARE	COM A SIRIUSXM	531229409	15	449	SH	OTR	449	0	0	n/a	n/a
LIBERTY MEDIA CORP DELAWARE	COM A SIRIUSXM	531229409	49057	1421111	SH	SOLE	1421111	0	0	n/a	n/a
LIBERTY MEDIA CORP DELAWARE	COM A SIRIUSXM	531229409	1302	37727	SH	SOLE	0	0	37727	2	n/a
LIBERTY MEDIA CORP DELAWARE	COM C SIRIUSXM	531229607	90692	2673704	SH	SOLE	2673704	0	0	n/a	n/a
LIBERTY MEDIA CORP DELAWARE	COM C SIRIUSXM	531229607	2018	59498	SH	SOLE	0	0	59498	2	n/a
LIBERTY MEDIA CORP DELAWARE	COM A BRAVES GRP	531229706	2	88	SH	OTR	88	0	0	n/a	n/a
LIBERTY MEDIA CORP DELAWARE	COM A BRAVES GRP	531229706	146	7138	SH	SOLE	7138	0	0	n/a	n/a
LIBERTY MEDIA CORP DELAWARE	COM C MEDIA GRP	531229854	754	24051	SH	SOLE	24051	0	0	n/a	n/a
LIBERTY MEDIA CORP DELAWARE	COM A MEDIA GRP	531229870	27	861	SH	OTR	861	0	0	n/a	n/a
LIBERTY MEDIA CORP DELAWARE	COM A MEDIA GRP	531229870	386	12308	SH	SOLE	12308	0	0	n/a	n/a
LIBERTY MEDIA CORP DELAWARE	COM C BRAVES GRP	531229888	348	16898	SH	SOLE	16898	0	0	n/a	n/a
LIBERTY PPTY TR	SH BEN INT	531172104	16833	426160	SH	SOLE	426160	0	0	n/a	n/a
LIBERTY PPTY TR	SH BEN INT	531172104	4448	112598	SH	SOLE	0	0	112598	2	n/a
LIBERTY TAX INC	CL A	53128T102	32	2399	SH	SOLE	2399	0	0	n/a	n/a
LIBERTY TRIPADVISOR HLDGS IN	COM SER A	531465102	1174	78012	SH	SOLE	78012	0	0	n/a	n/a
LIFE STORAGE INC	COM	53223X107	4840	56767	SH	SOLE	56767	0	0	n/a	n/a
LIFELOCK INC	COM	53224V100	1074	44920	SH	SOLE	44920	0	0	n/a	n/a
LIFEPOINT HEALTH INC	COM	53219L109	17251	303718	SH	SOLE	303718	0	0	n/a	n/a
LIFETIME BRANDS INC	COM	53222Q103	110	6207	SH	SOLE	6207	0	0	n/a	n/a
LIFEVANTAGE CORP	COM NEW	53222K205	66	8096	SH	SOLE	8096	0	0	n/a	n/a
LIFEWAY FOODS INC	COM	531914109	35	3056	SH	SOLE	3056	0	0	n/a	n/a
LIGAND PHARMACEUTICALS INC	COM NEW	53220K504	2200	21653	SH	SOLE	21653	0	0	n/a	n/a
LIGHTPATH TECHNOLOGIES INC	CL A NEW	532257805	9	6052	SH	SOLE	6052	0	0	n/a	n/a
LILLY ELI & CO	COM	532457108	109790	1492722	SH	SOLE	1466821	0	25901	n/a	n/a
LILLY ELI & CO	COM	532457108	38950	529569	SH	SOLE	0	0	529569	2	n/a
LIMELIGHT NETWORKS INC	COM	53261M104	1573	624104	SH	SOLE	624104	0	0	n/a	n/a
LIMONEIRA CO	COM	532746104	145	6747	SH	SOLE	6747	0	0	n/a	n/a
LINCOLN ELEC HLDGS INC	COM	533900106	2756	35944	SH	SOLE	35944	0	0	n/a	n/a
LINCOLN NATL CORP IND	COM	534187109	59492	897715	SH	SOLE	897715	0	0	n/a	n/a
LINCOLN NATL CORP IND	COM	534187109	8582	129500	SH	SOLE	0	0	129500	2	n/a
LINDBLAD EXPEDITIONS HLDGS I	COM	535219109	49	5160	SH	SOLE	5160	0	0	n/a	n/a
LINDSAY CORP	COM	535555106	430	5764	SH	SOLE	5764	0	0	n/a	n/a
LINEAR TECHNOLOGY CORP	COM	535678106	6659	106800	SH	SOLE	106800	0	0	n/a	n/a
LINEAR TECHNOLOGY CORP	COM	535678106	10282	164911	SH	SOLE	0	0	164911	2	n/a
LION BIOTECHNOLOGIES INC	COM	53619R102	8512	1224717	SH	SOLE	1224717	0	0	n/a	n/a
LION BIOTECHNOLOGIES INC	COM	53619R102	205	29448	SH	SOLE	29448	0	0	2	n/a
LIONBRIDGE TECHNOLOGIES INC	COM	536252109	448	77176	SH	SOLE	77176	0	0	n/a	n/a
LIONS GATE ENTMNT CORP	CL A VTG	535919401	952	35399	SH	SOLE	35399	0	0	n/a	n/a
LIONS GATE ENTMNT CORP	CL B NON VTG	535919500	1579	64331	SH	SOLE	64331	0	0	n/a	n/a
LIPOCINE INC NEW	COM	53630X104	37	10155	SH	SOLE	10155	0	0	n/a	n/a
LIQUIDITY SERVICES INC	COM	53635B107	137	14085	SH	SOLE	14085	0	0	n/a	n/a
LITHIA MTRS INC	CL A	536797103	1376	14207	SH	SOLE	14207	0	0	n/a	n/a
LITTELFUSE INC	COM	537008104	1800	11860	SH	SOLE	11860	0	0	n/a	n/a
LIVANOVA PLC	SHS	G5509L101	303	6732	SH	SOLE	6732	0	0	n/a	n/a
LIVE NATION ENTERTAINMENT IN	COM	538034109	11551	434249	SH	SOLE	434249	0	0	n/a	n/a
LIVE OAK BANCSHARES INC	COM	53803X105	133	7175	SH	SOLE	7175	0	0	n/a	n/a
LIVEPERSON INC	COM	538146101	211	27938	SH	SOLE	27938	0	0	n/a	n/a
LKQ CORP	COM	501889208	14683	479040	SH	SOLE	479040	0	0	n/a	n/a
LKQ CORP	COM	501889208	6943	226538	SH	SOLE	0	0	226538	2	n/a
LMI AEROSPACE INC	COM	502079106	23	2720	SH	SOLE	2720	0	0	n/a	n/a
LOCKHEED MARTIN CORP	COM	539830109	269722	1079145	SH	SOLE	1079145	0	0	n/a	n/a
LOCKHEED MARTIN CORP	COM	539830109	35404	141649	SH	SOLE	0	0	141649	2	n/a
LOEWS CORP	COM	540424108	6397	136608	SH	SOLE	136608	0	0	n/a	n/a
LOEWS CORP	COM	540424108	7734	165151	SH	SOLE	0	0	165151	2	n/a
LOGMEIN INC	COM	54142L109	9166	94933	SH	SOLE	94933	0	0	n/a	n/a
LORAL SPACE & COMMUNICATNS I	COM	543881106	264	6422	SH	SOLE	6422	0	0	n/a	n/a
LOUISIANA PAC CORP	COM	546347105	1555	82146	SH	SOLE	82146	0	0	n/a	n/a
LOWES COS INC	COM	548661107	342940	4821988	SH	SOLE	4800550	0	21438	n/a	n/a
LOWES COS INC	COM	548661107	33879	476360	SH	SOLE	0	0	476360	2	n/a
LOXO ONCOLOGY INC	COM	548862101	216	6726	SH	SOLE	6726	0	0	n/a	n/a
LPL FINL HLDGS INC	COM	50212V100	1753	49773	SH	SOLE	49773	0	0	n/a	n/a
LRAD CORP	COM	50213V109	15	8678	SH	SOLE	8678	0	0	n/a	n/a
LSB INDS INC	COM	502160104	86	10267	SH	SOLE	10267	0	0	n/a	n/a
LSC COMMUNICATIONS INC	COM	50218P107	452	15225	SH	SOLE	15225	0	0	n/a	n/a
LSI INDS INC	COM	50216C108	1241	127456	SH	SOLE	127456	0	0	n/a	n/a
LTC PPTYS INC	COM	502175102	21608	459936	SH	SOLE	459936	0	0	n/a	n/a
LUBYS INC	COM	549282101	48	11295	SH	SOLE	11295	0	0	n/a	n/a
LULULEMON ATHLETICA INC	COM	550021109	3878	59666	SH	SOLE	59666	0	0	n/a	n/a
LULULEMON ATHLETICA INC	COM	550021109	6334	97457	SH	SOLE	0	0	97457	2	n/a
LUMBER LIQUIDATORS HLDGS INC	COM	55003T107	216	13722	SH	SOLE	13722	0	0	n/a	n/a
LUMENTUM HLDGS INC	COM	55024U109	1483	38371	SH	SOLE	38371	0	0	n/a	n/a
LUMINEX CORP DEL	COM	55027E102	434	21475	SH	SOLE	21475	0	0	n/a	n/a
LUMOS NETWORKS CORP	COM	550283105	173	11058	SH	SOLE	11058	0	0	n/a	n/a
LUXFER HLDGS PLC	SPONSORED ADR	550678106	4125	378753	SH	SOLE	378753	0	0	n/a	n/a
LUXOFT HLDG INC	ORD SHS CL A	G57279104	2264	40289	SH	SOLE	40289	0	0	n/a	n/a
LYDALL INC DEL	COM	550819106	556	8996	SH	SOLE	8996	0	0	n/a	n/a
LYON WILLIAM HOMES	CL A NEW	552074700	247	12955	SH	SOLE	12955	0	0	n/a	n/a
LYONDELLBASELL INDUSTRIES N	SHS - A -	N53745100	1364	15900	SH	SOLE	15900	0	0	n/a	n/a
LYONDELLBASELL INDUSTRIES N	SHS - A -	N53745100	18272	213007	SH	SOLE	0	0	213007	2	n/a
M & T BK CORP	COM	55261F104	60344	385758	SH	SOLE	385758	0	0	n/a	n/a
M D C HLDGS INC	COM	552676108	550	21421	SH	SOLE	21421	0	0	n/a	n/a
M/I HOMES INC	COM	55305B101	391	15533	SH	SOLE	15533	0	0	n/a	n/a
MACATAWA BK CORP	COM	554225102	169	16280	SH	SOLE	16280	0	0	n/a	n/a
MACERICH CO	COM	554382101	12049	170094	SH	SOLE	170094	0	0	n/a	n/a
MACERICH CO	COM	554382101	5692	80353	SH	SOLE	0	0	80353	2	n/a
MACK CALI RLTY CORP	COM	554489104	3098	106748	SH	SOLE	106748	0	0	n/a	n/a
MACOM TECH SOLUTIONS HLDGS I	COM	55405Y100	12077	260965	SH	SOLE	260965	0	0	n/a	n/a
MACQUARIE INFRASTRUCTURE COR	COM	55608B105	23320	285438	SH	SOLE	285438	0	0	n/a	n/a
MACQUARIE INFRASTRUCTURE COR	COM	55608B105	4165	50981	SH	SOLE	0	0	50981	2	n/a
MACROGENICS INC	COM	556099109	346	16935	SH	SOLE	16935	0	0	n/a	n/a
MACYS INC	COM	55616P104	10327	288393	SH	SOLE	288393	0	0	n/a	n/a
MACYS INC	COM	55616P104	9377	261848	SH	SOLE	0	0	261848	2	n/a
MADDEN STEVEN LTD	COM	556269108	5847	163558	SH	SOLE	163558	0	0	n/a	n/a
MADISON SQUARE GARDEN CO NEW	CL A	55825T103	14930	87052	SH	SOLE	87052	0	0	n/a	n/a
MADRIGAL PHARMACEUTICALS INC	COM	558868105	8	558	SH	SOLE	558	0	0	n/a	n/a
MAGELLAN HEALTH INC	COM NEW	559079207	2314	30756	SH	SOLE	30756	0	0	n/a	n/a
MAGELLAN MIDSTREAM PRTNRS LP	COM UNIT RP LP	559080106	60390	798492	SH	SOLE	798492	0	0	n/a	n/a
MAGELLAN PETE CORP	COM NEW	559091608	37	3259	SH	SOLE	3259	0	0	n/a	n/a
MAGNA INTL INC	COM	559222401	6487	149480	SH	SOLE	149480	0	0	n/a	n/a
MAGNEGAS CORP	COM NEW	55939L202	2	3416	SH	SOLE	3416	0	0	n/a	n/a
MAIDEN HOLDINGS LTD	SHS	G5753U112	1610	92269	SH	SOLE	92269	0	0	n/a	n/a
MAINSOURCE FINANCIAL GP INC	COM	56062Y102	477	13869	SH	SOLE	13869	0	0	n/a	n/a
MAJESCO	COM	56068V102	11	1856	SH	SOLE	1856	0	0	n/a	n/a
MAKEMYTRIP LIMITED MAURITIUS	SHS	V5633W109	6105	275000	SH	SOLE	275000	0	0	n/a	n/a
MAKEMYTRIP LIMITED MAURITIUS	SHS	V5633W109	157	7050	SH	SOLE	0	0	7050	2	n/a
MALIBU BOATS INC	COM CL A	56117J100	205	10765	SH	SOLE	10765	0	0	n/a	n/a
MALLINCKRODT PUB LTD CO	SHS	G5785G107	35011	702758	SH	SOLE	685161	0	17597	n/a	n/a
MALLINCKRODT PUB LTD CO	SHS	G5785G107	3442	69091	SH	SOLE	0	0	69091	2	n/a
MAMMOTH ENERGY SVCS INC	COM	56155L108	113	7446	SH	SOLE	7446	0	0	n/a	n/a
MANHATTAN ASSOCS INC	COM	562750109	6510	122760	SH	SOLE	122760	0	0	n/a	n/a
MANITEX INTL INC	COM	563420108	19	2717	SH	SOLE	2717	0	0	n/a	n/a
MANITOWOC FOODSERVICE INC	COM	563568104	1475	76321	SH	SOLE	76321	0	0	n/a	n/a
MANITOWOC INC	COM	563571108	436	72908	SH	SOLE	72908	0	0	n/a	n/a
MANNATECH INC	COM NEW	563771203	13	644	SH	SOLE	644	0	0	n/a	n/a
MANNING & NAPIER INC	CL A	56382Q102	41	5384	SH	SOLE	5384	0	0	n/a	n/a
MANNKIND CORP	COM	56400P201	96	150236	SH	SOLE	150236	0	0	n/a	n/a
MANPOWERGROUP INC	COM	56418H100	5573	62714	SH	SOLE	62714	0	0	n/a	n/a
MANPOWERGROUP INC	COM	56418H100	4559	51303	SH	SOLE	0	0	51303	2	n/a
MANTECH INTL CORP	CL A	564563104	554	13112	SH	SOLE	13112	0	0	n/a	n/a
MARATHON OIL CORP	COM	565849106	1258	72647	SH	OTR	0	72647	0	n/a	n/a
MARATHON OIL CORP	COM	565849106	465463	26889830	SH	SOLE	26889830	0	0	n/a	n/a
MARATHON OIL CORP	COM	565849106	6206	358497	SH	SOLE	0	0	358497	2	n/a
MARATHON PETE CORP	COM	56585A102	702474	13951822	SH	SOLE	13951822	0	0	n/a	n/a
MARATHON PETE CORP	COM	56585A102	13748	273058	SH	SOLE	0	0	273058	2	n/a
MARCHEX INC	CL B	56624R108	42	15679	SH	SOLE	15679	0	0	n/a	n/a
MARCUS & MILLICHAP INC	COM	566324109	20623	771831	SH	SOLE	771831	0	0	n/a	n/a
MARCUS & MILLICHAP INC	COM	566324109	304	11390	SH	SOLE	0	0	11390	2	n/a
MARCUS CORP	COM	566330106	349	11087	SH	SOLE	11087	0	0	n/a	n/a
MARINE PRODS CORP	COM	568427108	106	7633	SH	SOLE	7633	0	0	n/a	n/a
MARINEMAX INC	COM	567908108	251	12949	SH	SOLE	12949	0	0	n/a	n/a
MARKEL CORP	COM	570535104	7667	8477	SH	SOLE	8477	0	0	n/a	n/a
MARKEL CORP	COM	570535104	8925	9867	SH	SOLE	0	0	9867	2	n/a
MARKETAXESS HLDGS INC	COM	57060D108	3211	21854	SH	SOLE	21854	0	0	n/a	n/a
MARLIN BUSINESS SVCS CORP	COM	571157106	103	4946	SH	SOLE	4946	0	0	n/a	n/a
MARRIOTT INTL INC NEW	CL A	571903202	12161	147090	SH	SOLE	147090	0	0	n/a	n/a
MARRIOTT INTL INC NEW	CL A	571903202	12302	148791	SH	SOLE	0	0	148791	2	n/a
MARRIOTT VACATIONS WRLDWDE C	COM	57164Y107	1032	12166	SH	SOLE	12166	0	0	n/a	n/a
MARSH & MCLENNAN COS INC	COM	571748102	214292	3170463	SH	SOLE	3170463	0	0	n/a	n/a
MARSH & MCLENNAN COS INC	COM	571748102	20093	297271	SH	SOLE	0	0	297271	2	n/a
MARTEN TRANS LTD	COM	573075108	278	11938	SH	SOLE	11938	0	0	n/a	n/a
MARTIN MARIETTA MATLS INC	COM	573284106	6351	28668	SH	SOLE	28668	0	0	n/a	n/a
MARTIN MARIETTA MATLS INC	COM	573284106	8293	37433	SH	SOLE	0	0	37433	2	n/a
MARVELL TECHNOLOGY GROUP LTD	ORD	G5876H105	3581	258148	SH	SOLE	258148	0	0	n/a	n/a
MARVELL TECHNOLOGY GROUP LTD	ORD	G5876H105	4664	336286	SH	SOLE	0	0	336286	2	n/a
MASCO CORP	COM	574599106	72212	2283730	SH	SOLE	2283730	0	0	n/a	n/a
MASCO CORP	COM	574599106	5449	172323	SH	SOLE	0	0	172323	2	n/a
MASIMO CORP	COM	574795100	51013	756868	SH	SOLE	756868	0	0	n/a	n/a
MASIMO CORP	COM	574795100	1525	22630	SH	SOLE	22630	0	0	2	n/a
MASONITE INTL CORP NEW	COM	575385109	1076	16347	SH	SOLE	16347	0	0	n/a	n/a
MAST THERAPEUTICS INC	COM	576314108	4	50199	SH	SOLE	50199	0	0	n/a	n/a
MASTEC INC	COM	576323109	9904	258939	SH	SOLE	258939	0	0	n/a	n/a
MASTECH DIGITAL INC	COM	57633B100	7	1020	SH	SOLE	1020	0	0	n/a	n/a
MASTERCARD INCORPORATED	CL A	57636Q104	1736	16811	SH	OTR	0	16811	0	n/a	n/a
MASTERCARD INCORPORATED	CL A	57636Q104	153714	1488757	SH	SOLE	1471297	0	17460	n/a	n/a
MASTERCARD INCORPORATED	CL A	57636Q104	59013	571552	SH	SOLE	0	0	571552	2	n/a
MATADOR RES CO	COM	576485205	5817	225807	SH	SOLE	225807	0	0	n/a	n/a
MATCH GROUP INC	COM	57665R106	336	19667	SH	SOLE	19667	0	0	n/a	n/a
MATERION CORP	COM	576690101	11347	286534	SH	SOLE	286534	0	0	n/a	n/a
MATRIX SVC CO	COM	576853105	1276	56209	SH	SOLE	56209	0	0	n/a	n/a
MATSON INC	COM	57686G105	795	22463	SH	SOLE	22463	0	0	n/a	n/a
MATTEL INC	COM	577081102	79911	2900579	SH	SOLE	2875411	0	25168	n/a	n/a
MATTEL INC	COM	577081102	6669	242053	SH	SOLE	0	0	242053	2	n/a
MATTHEWS INTL CORP	CL A	577128101	6088	79213	SH	SOLE	79213	0	0	n/a	n/a
MAUI LD & PINEAPPLE INC	COM	577345101	37	5106	SH	SOLE	5106	0	0	n/a	n/a
MAXIM INTEGRATED PRODS INC	COM	57772K101	16971	440004	SH	SOLE	440004	0	0	n/a	n/a
MAXIM INTEGRATED PRODS INC	COM	57772K101	7191	186449	SH	SOLE	0	0	186449	2	n/a
MAXIMUS INC	COM	577933104	1913	34285	SH	SOLE	34285	0	0	n/a	n/a
MAXLINEAR INC	CL A	57776J100	633	29015	SH	SOLE	29015	0	0	n/a	n/a
MAXWELL TECHNOLOGIES INC	COM	577767106	91	17792	SH	SOLE	17792	0	0	n/a	n/a
MB FINANCIAL INC NEW	COM	55264U108	1850	39167	SH	SOLE	39167	0	0	n/a	n/a
MBIA INC	COM	55262C100	745	69658	SH	SOLE	69658	0	0	n/a	n/a
MBT FINL CORP	COM	578877102	82	7198	SH	SOLE	7198	0	0	n/a	n/a
MCBC HLDGS INC	COM	55276F107	304	20881	SH	SOLE	20881	0	0	n/a	n/a
MCCLATCHY CO	CL A NEW	579489303	14	1090	SH	SOLE	1090	0	0	n/a	n/a
MCCORMICK & CO INC	COM NON VTG	579780206	5186	55568	SH	SOLE	55568	0	0	n/a	n/a
MCCORMICK & CO INC	COM NON VTG	579780206	9368	100380	SH	SOLE	0	0	100380	2	n/a
MCDERMOTT INTL INC	COM	580037109	1962	265456	SH	SOLE	265456	0	0	n/a	n/a
